nombre;apellido;codigo_estudiante;contrasena_estudiante;tipo_documento_id;num_documento;correo;jornada
Ana;Castro;EST0001;Pass6701;1;100000001;ana.castro1@correo.com;NOC
Juan;Castro;EST0002;Pass2281;1;100000002;juan.castro2@correo.com;DIU
Daniela;Ram¡rez;EST0003;Pass7365;1;100000003;daniela.ram¡rez3@correo.com;NOC
Andr‚s;L¢pez;EST0004;Pass9128;1;100000004;andr‚s.l¢pez4@correo.com;DIU
Daniela;L¢pez;EST0005;Pass5056;1;100000005;daniela.l¢pez5@correo.com;NOC
Camilo;P‚rez;EST0006;Pass1688;1;100000006;camilo.p‚rez6@correo.com;DIU
Sof¡a;Mart¡nez;EST0007;Pass2575;1;100000007;sof¡a.mart¡nez7@correo.com;NOC
Andr‚s;Castro;EST0008;Pass6748;1;100000008;andr‚s.castro8@correo.com;DIU
Sof¡a;L¢pez;EST0009;Pass1555;1;100000009;sof¡a.l¢pez9@correo.com;NOC
Daniela;G¢mez;EST0010;Pass0236;1;100000010;daniela.g¢mez10@correo.com;DIU
Juan;Mart¡nez;EST0011;Pass7325;1;100000011;juan.mart¡nez11@correo.com;NOC
Valentina;Rodr¡guez;EST0012;Pass5776;1;100000012;valentina.rodr¡guez12@correo.com;DIU
Valentina;Mart¡nez;EST0013;Pass4649;1;100000013;valentina.mart¡nez13@correo.com;NOC
Sof¡a;Rodr¡guez;EST0014;Pass1614;1;100000014;sof¡a.rodr¡guez14@correo.com;DIU
Valentina;G¢mez;EST0015;Pass4046;1;100000015;valentina.g¢mez15@correo.com;NOC
Sof¡a;L¢pez;EST0016;Pass5959;1;100000016;sof¡a.l¢pez16@correo.com;DIU
Andr‚s;G¢mez;EST0017;Pass8008;1;100000017;andr‚s.g¢mez17@correo.com;NOC
Mar¡a;Ram¡rez;EST0018;Pass1398;1;100000018;mar¡a.ram¡rez18@correo.com;NOC
Mar¡a;P‚rez;EST0019;Pass0557;1;100000019;mar¡a.p‚rez19@correo.com;DIU
Sof¡a;Torres;EST0020;Pass7218;1;100000020;sof¡a.torres20@correo.com;NOC
Mar¡a;Mart¡nez;EST0021;Pass8673;1;100000021;mar¡a.mart¡nez21@correo.com;DIU
Juan;Rodr¡guez;EST0022;Pass7738;1;100000022;juan.rodr¡guez22@correo.com;NOC
Valentina;P‚rez;EST0023;Pass7657;1;100000023;valentina.p‚rez23@correo.com;DIU
Daniela;S nchez;EST0024;Pass5724;1;100000024;daniela.s nchez24@correo.com;NOC
Ana;Castro;EST0025;Pass8094;1;100000025;ana.castro25@correo.com;DIU
Carlos;Castro;EST0026;Pass4570;1;100000026;carlos.castro26@correo.com;NOC
Camilo;P‚rez;EST0027;Pass2578;1;100000027;camilo.p‚rez27@correo.com;DIU
Andr‚s;Castro;EST0028;Pass3767;1;100000028;andr‚s.castro28@correo.com;NOC
Sof¡a;Mart¡nez;EST0029;Pass7072;1;100000029;sof¡a.mart¡nez29@correo.com;DIU
Juan;Mart¡nez;EST0030;Pass5558;1;100000030;juan.mart¡nez30@correo.com;NOC
Daniela;S nchez;EST0031;Pass7281;1;100000031;daniela.s nchez31@correo.com;DIU
Valentina;Hern ndez;EST0032;Pass8069;1;100000032;valentina.hern ndez32@correo.com;NOC
Juan;Ram¡rez;EST0033;Pass0513;1;100000033;juan.ram¡rez33@correo.com;DIU
Valentina;Castro;EST0034;Pass7028;1;100000034;valentina.castro34@correo.com;NOC
Carlos;Rodr¡guez;EST0035;Pass5234;1;100000035;carlos.rodr¡guez35@correo.com;NOC
Andr‚s;S nchez;EST0036;Pass5221;1;100000036;andr‚s.s nchez36@correo.com;DIU
Daniela;Hern ndez;EST0037;Pass1986;1;100000037;daniela.hern ndez37@correo.com;NOC
Camilo;P‚rez;EST0038;Pass4380;1;100000038;camilo.p‚rez38@correo.com;DIU
Daniela;Torres;EST0039;Pass0991;1;100000039;daniela.torres39@correo.com;NOC
Valentina;Rodr¡guez;EST0040;Pass0550;1;100000040;valentina.rodr¡guez40@correo.com;DIU
Carlos;Mart¡nez;EST0041;Pass9556;1;100000041;carlos.mart¡nez41@correo.com;NOC
Daniela;Castro;EST0042;Pass9468;1;100000042;daniela.castro42@correo.com;DIU
Luis;Torres;EST0043;Pass4827;1;100000043;luis.torres43@correo.com;NOC
Valentina;P‚rez;EST0044;Pass4235;1;100000044;valentina.p‚rez44@correo.com;DIU
Ana;Mart¡nez;EST0045;Pass0489;1;100000045;ana.mart¡nez45@correo.com;NOC
Mar¡a;Hern ndez;EST0046;Pass1330;1;100000046;mar¡a.hern ndez46@correo.com;DIU
Carlos;L¢pez;EST0047;Pass4713;1;100000047;carlos.l¢pez47@correo.com;NOC
Daniela;Hern ndez;EST0048;Pass9433;1;100000048;daniela.hern ndez48@correo.com;DIU
Andr‚s;Castro;EST0049;Pass6691;1;100000049;andr‚s.castro49@correo.com;NOC
Sof¡a;Torres;EST0050;Pass4817;1;100000050;sof¡a.torres50@correo.com;DIU
Camilo;Mart¡nez;EST0051;Pass5785;1;100000051;camilo.mart¡nez51@correo.com;NOC
Ana;Castro;EST0052;Pass9870;1;100000052;ana.castro52@correo.com;NOC
Juan;S nchez;EST0053;Pass0328;1;100000053;juan.s nchez53@correo.com;DIU
Mar¡a;S nchez;EST0054;Pass4410;1;100000054;mar¡a.s nchez54@correo.com;NOC
Ana;Mart¡nez;EST0055;Pass9317;1;100000055;ana.mart¡nez55@correo.com;DIU
Luis;Rodr¡guez;EST0056;Pass1543;1;100000056;luis.rodr¡guez56@correo.com;NOC
Valentina;Hern ndez;EST0057;Pass5646;1;100000057;valentina.hern ndez57@correo.com;DIU
Andr‚s;S nchez;EST0058;Pass9548;1;100000058;andr‚s.s nchez58@correo.com;NOC
Luis;G¢mez;EST0059;Pass0448;1;100000059;luis.g¢mez59@correo.com;DIU
Ana;G¢mez;EST0060;Pass5301;1;100000060;ana.g¢mez60@correo.com;NOC
Sof¡a;Ram¡rez;EST0061;Pass0243;1;100000061;sof¡a.ram¡rez61@correo.com;DIU
Sof¡a;Castro;EST0062;Pass3094;1;100000062;sof¡a.castro62@correo.com;NOC
Daniela;Castro;EST0063;Pass2187;1;100000063;daniela.castro63@correo.com;DIU
Mar¡a;L¢pez;EST0064;Pass7180;1;100000064;mar¡a.l¢pez64@correo.com;NOC
Ana;Torres;EST0065;Pass1542;1;100000065;ana.torres65@correo.com;DIU
Valentina;Hern ndez;EST0066;Pass4045;1;100000066;valentina.hern ndez66@correo.com;NOC
Andr‚s;Castro;EST0067;Pass9291;1;100000067;andr‚s.castro67@correo.com;DIU
Luis;Ram¡rez;EST0068;Pass3982;1;100000068;luis.ram¡rez68@correo.com;NOC
Carlos;Mart¡nez;EST0069;Pass3589;1;100000069;carlos.mart¡nez69@correo.com;NOC
Ana;Ram¡rez;EST0070;Pass6999;1;100000070;ana.ram¡rez70@correo.com;DIU
Andr‚s;Torres;EST0071;Pass0555;1;100000071;andr‚s.torres71@correo.com;NOC
Andr‚s;L¢pez;EST0072;Pass4628;1;100000072;andr‚s.l¢pez72@correo.com;DIU
Mar¡a;Castro;EST0073;Pass0077;1;100000073;mar¡a.castro73@correo.com;NOC
Valentina;Castro;EST0074;Pass7436;1;100000074;valentina.castro74@correo.com;DIU
Valentina;Rodr¡guez;EST0075;Pass7290;1;100000075;valentina.rodr¡guez75@correo.com;NOC
Luis;Hern ndez;EST0076;Pass2480;1;100000076;luis.hern ndez76@correo.com;DIU
Camilo;Rodr¡guez;EST0077;Pass2159;1;100000077;camilo.rodr¡guez77@correo.com;NOC
Valentina;Ram¡rez;EST0078;Pass9773;1;100000078;valentina.ram¡rez78@correo.com;DIU
